lat,lon,time_min,time_max,surface_time,depth_min,depth_max,num_points,steric,Mooring_ID
35.71094853327577,-124.7005180445734,10231822.0,10236131.0,nan,nan,nan,0,nan,ru38
35.6806040705622,-124.74794641760802,10246033.377000192,10250427.377000192,10246252,-499.61398,-0.049636096,1072,-4.604658218950591,ru38
35.671286281133206,-124.76460613405764,10250427.377000192,10254771.377000192,nan,nan,nan,0,nan,ru38
35.64141968799924,-124.81275969983453,10264192.0,10268350.0,10264410,-499.7048,-0.079418026,1041,-3.656005938917384,ru38
35.63247149334886,-124.82802259637796,10268350.0,10272636.0,nan,nan,nan,0,nan,ru38
35.604646882199596,-124.87535839281294,10281744.260999937,10285806.260999937,10281945,-499.9144,-0.06949101,1022,-1.360833320867755,ru38
35.59860722497998,-124.89244659502239,10285806.260999937,10290060.260999937,nan,nan,nan,0,nan,ru38
35.57870488349104,-124.93988772026046,10299277.536999935,10302303.536999935,10299492,-499.60858,-0.06949116,1139,-0.055902930819039284,ru38
35.57371507281777,-124.94529731665558,10302303.536999935,10305851.536999935,nan,nan,nan,0,nan,ru38
35.56864408809769,-124.95079568313314,10305851.536999935,10308985.536999935,nan,nan,nan,0,nan,ru38
35.56354038824126,-124.95632952197336,10308985.536999935,10312577.536999935,10312246,-499.6487,-1.3501122,1426,-1.7810928839505902,ru38
35.560070123800124,-124.95877781523676,10313153.410000129,10316039.410000129,10313368,-499.8965,-0.049636643,1093,-2.2005963104715183,ru38
35.56191959669816,-124.95703003787682,10316039.410000129,10319495.410000129,nan,nan,nan,0,nan,ru38
35.56378960003805,-124.95526387782509,10319495.410000129,10322447.410000129,nan,nan,nan,0,nan,ru38
35.56571178290124,-124.95344843583487,10322447.410000129,10326085.410000129,10325759,-499.8072,-0.73462063,1435,0.47714271222990734,ru38
35.56565676699936,-124.95320620281404,10326709.548999935,10329825.548999935,10326916,-499.72794,-0.039709292,1158,1.028545100951276,ru38
35.565490289972544,-124.9537303637418,10329825.548999935,10333303.548999935,nan,nan,nan,0,nan,ru38
35.565320998303186,-124.95426463819334,10333303.548999935,10336535.548999935,nan,nan,nan,0,nan,ru38
35.565151568881575,-124.95479934738283,10336535.548999935,10340019.548999935,10339686,-499.95572,-1.5288023,1377,0.7386848479911632,ru38
35.5621436074641,-124.95457079669885,10340611.0,10343659.0,10340828,-499.94595,-0.069491275,1136,1.3573061049153046,ru38
35.56034877644919,-124.95340821930348,10343659.0,10347087.0,nan,nan,nan,0,nan,ru38
35.558530974846114,-124.95223001456075,10347087.0,10350221.0,nan,nan,nan,0,nan,ru38
35.55668876810723,-124.95103599167446,10350221.0,10353735.0,10353405,-499.65897,-1.2409128,1374,-0.8011298065456163,ru38
35.55474202760586,-124.95022715915839,10354347.232999936,10357411.232999936,10354571,-499.97595,-0.07941867,1163,-0.9529547199135926,ru38
35.557467738660165,-124.94838129917953,10357411.232999936,10360841.232999936,nan,nan,nan,0,nan,ru38
35.56015159712464,-124.94656260770978,10360841.232999936,10363807.232999936,nan,nan,nan,0,nan,ru38
35.56288768099525,-124.94470852618429,10363807.232999936,10367361.232999936,10367049,-499.8568,-1.3401846,1381,-0.8578017142258316,ru38
35.562613025142895,-124.94542951114478,10367806.0,10371096.0,10368016,-499.71817,-0.069491275,1230,-0.5772934345242404,ru38
35.562620498652734,-124.94781005942767,10371096.0,10374482.0,nan,nan,nan,0,nan,ru38
35.562628786363476,-124.95021266677082,10374482.0,10377838.0,nan,nan,nan,0,nan,ru38
35.56263719914142,-124.95265153109722,10377838.0,10381324.0,10381010,-499.89642,-0.704839,1380,-0.17964218200672233,ru38
35.56066388256508,-124.95414325584989,10382022.653000193,10385190.653000193,10382244,-499.81726,-0.06949129,1185,0.08584595843962062,ru38
35.56044939006199,-124.95445731804365,10385190.653000193,10388630.653000193,nan,nan,nan,0,nan,ru38
35.56023513588963,-124.95477169483887,10388630.653000193,10391802.653000193,nan,nan,nan,0,nan,ru38
35.56001780083518,-124.95509059223606,10391802.653000193,10395338.653000193,10394993,-499.7975,-1.409676,1392,0.5691775537626678,ru38
35.55928385892168,-124.954194199268,10396044.142999807,10399052.142999807,10396257,-499.65884,-0.03970932,1134,-0.6372792904442287,ru38
35.56160446548241,-124.95380368521478,10399052.142999807,10402504.142999807,nan,nan,nan,0,nan,ru38
35.563960210795074,-124.95340814030574,10402504.142999807,10405608.142999807,nan,nan,nan,0,nan,ru38
35.56633048974971,-124.95301015510402,10405608.142999807,10409100.142999807,10408777,-499.66852,-1.3997477,1379,-1.611537149081636,ru38
35.56510022832694,-124.95224883911543,10409738.0,10412642.0,10409952,-499.61902,-0.009927324,1099,-1.1671514386942832,ru38
35.56487460892636,-124.95184331158572,10412642.0,10416002.0,nan,nan,nan,0,nan,ru38
35.56464865287245,-124.95143568024305,10416002.0,10418910.0,nan,nan,nan,0,nan,ru38
35.56442074163033,-124.95102452168354,10418910.0,10422324.0,10421993,-499.70816,-1.4295299,1338,-0.6292765271928412,ru38
35.56151005105358,-124.95183900727281,10422995.269999873,10425667.269999873,10423190,-499.5796,-0.06949128,1079,0.47303557917564915,ru38
35.560015925923345,-124.95337634418354,10425667.269999873,10428863.269999873,10428550,-499.93613,-5.708135,1348,-0.3347476654586028,ru38
35.558562643589646,-124.95487041896155,10428863.269999873,10431373.269999873,10429046,-499.82727,-5.708135,1013,-0.1891336031216095,ru38
35.55712437936514,-124.95634905408431,10431373.269999873,10434509.269999873,10434193,-499.67877,-1.4493854,1316,-0.08278667156944527,ru38
35.554482181371135,-124.95676794360975,10435082.0,10437868.0,10435290,-499.7185,-0.029782,1140,0.39794696436273963,ru38
35.554665510341465,-124.95546435268223,10437868.0,10440934.0,10440641,-499.9463,-6.313687,1278,-1.2880030042395008,ru38
35.55484929469377,-124.95415006638856,10440934.0,10443760.0,10441137,-499.94626,-6.313687,1152,-1.960556921606449,ru38
35.555034655516735,-124.9528245063724,10443760.0,10446876.0,10446564,-499.64917,-1.1912766,1304,-1.5186945952080382,ru38
35.55489540284521,-124.95220925143462,10447485.196999935,10450263.196999935,10447700,-499.83728,-0.029782003,1128,-1.979180150086222,ru38
35.558458249688705,-124.95143589269952,10450263.196999935,10453327.196999935,10453054,-499.7481,-5.8868213,1283,-1.9762086303147481,ru38
35.56200205519505,-124.95066634069137,10453327.196999935,10456071.196999935,10453514,-499.94592,-5.8868213,1114,-1.0441646504033706,ru38
35.565602114640875,-124.94988457290782,10456071.196999935,10459227.196999935,10458911,-499.71808,-0.8140388,1315,-0.9031334697793882,ru38
35.56582448097114,-124.949634662278,10459803.0,10462423.0,10460017,-499.9557,-0.039709292,1072,-0.5223714112629364,ru38
35.56608560883979,-124.95038005536288,10462423.0,10465507.0,10465216,-499.94577,-6.422878,1283,0.21792030281638175,ru38
35.56634805703771,-124.95112692702307,10465507.0,10468139.0,10465683,-499.93585,-6.422878,1077,0.36408255153536506,ru38
35.56661018055844,-124.95187287472119,10468139.0,10471219.0,10470899,-499.58923,-0.55592936,1297,-0.7942811028511935,ru38
35.56388507319703,-124.95319621720044,10471775.654000128,10474683.654000128,10471991,-499.74783,-0.009927324,1183,-0.4192703166134377,ru38
35.56137918174218,-124.95441394353568,10474683.654000128,10477713.654000128,10477414,-499.69836,-5.976165,1277,0.3164291239658896,ru38
35.55888705182739,-124.95562525767753,10477713.654000128,10480593.654000128,10477903,-499.79758,-5.976165,1179,0.7807809839107026,ru38
35.556374222618714,-124.95684663283077,10480593.654000128,10483673.654000128,10483361,-499.78772,-1.1217856,1288,-0.6353464785332992,ru38
35.55478422424338,-124.95617100387081,10484144.0,10486918.0,10484372,-499.8274,-0.04963668,1139,-0.7431989337907615,ru38
35.5577729328968,-124.95302712943682,10486918.0,10489950.0,10489656,-499.82736,-6.0158734,1263,-1.2295299920519538,ru38
35.560790493196606,-124.94985343791328,10489950.0,10492778.0,10490151,-499.92615,-6.0158734,1146,-1.5569431327493988,ru38
35.56380017125602,-124.94668803646418,10492778.0,10495794.0,10495494,-499.68845,-1.3898207,1265,-1.2384019501482262,ru38
35.56344128893601,-124.94491569734936,10496414.766000127,10499080.766000127,10496618,-499.6587,-0.019854652,1086,-1.3718337645761958,ru38
35.56422027849243,-124.94525765632547,10499080.766000127,10502086.766000127,10501796,-499.61908,-6.204484,1261,-1.157507900669496,ru38
35.56500441788771,-124.9456013886631,10502086.766000127,10504792.766000127,10502273,-499.76755,-6.204484,1109,-1.0885395117021426,ru38
35.56580090342492,-124.94595053300819,10504792.766000127,10507884.766000127,10507571,-499.80716,-0.7147661,1293,-0.7743637883518746,ru38
35.56392406693416,-124.94728324081558,10508459.0,10511133.0,10508665,-499.87656,-0.009927325,1103,-0.4646112658103886,ru38
35.56287359005767,-124.94949975993639,10511133.0,10514155.0,10513866,-499.936,-5.5592275,1271,-0.9987902259918878,ru38
